,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
45,2019-07-01,16.664875955856356,-30.35388233729519,51.18054345906164,16.664875955856356,16.664875955856356,-6.3984132702647205,-6.3984132702647205,-6.3984132702647205,1.1645793334513383,1.1645793334513383,1.1645793334513383,-7.562992603716059,-7.562992603716059,-7.562992603716059,0.0,0.0,0.0,10.266462685591636
46,2019-07-02,16.66590469457571,-31.120275623615974,50.91178600208663,16.66590469457571,16.66590469457571,-6.658823113057286,-6.658823113057286,-6.658823113057286,0.2473247721386852,0.2473247721386852,0.2473247721386852,-6.9061478851959714,-6.9061478851959714,-6.9061478851959714,0.0,0.0,0.0,10.007081581518422
47,2019-07-03,16.66693343329506,-28.865359429601003,50.09441174633788,16.66693343329506,16.66693343329506,-5.603729658886361,-5.603729658886361,-5.603729658886361,0.6081325536273803,0.6081325536273803,0.6081325536273803,-6.211862212513742,-6.211862212513742,-6.211862212513742,0.0,0.0,0.0,11.063203774408699
48,2019-07-05,16.66899091073377,-28.90273357059297,52.43324880505712,16.66899091073377,16.66899091073377,-5.477838378857801,-5.477838378857801,-5.477838378857801,-0.7396400812827804,-0.7396400812827804,-0.7396400812827804,-4.738198297575021,-4.738198297575021,-4.738198297575021,0.0,0.0,0.0,11.191152531875968
49,2019-07-08,16.672077126891825,-24.830714669263493,55.58566692563803,16.672077126891825,16.672077126891825,-1.2732423947211289,-1.2732423947211289,-1.2732423947211289,1.1645793334509182,1.1645793334509182,1.1645793334509182,-2.4378217281720476,-2.4378217281720476,-2.4378217281720476,0.0,0.0,0.0,15.398834732170696
50,2019-07-09,16.673105865611177,-27.471507153127423,57.43182879182286,16.673105865611177,16.673105865611177,-1.4351266424724567,-1.4351266424724567,-1.4351266424724567,0.24732477213877357,0.24732477213877357,0.24732477213877357,-1.6824514146112304,-1.6824514146112304,-1.6824514146112304,0.0,0.0,0.0,15.237979223138721
51,2019-07-10,16.67413460433053,-24.638210467239208,56.49878714147464,16.67413460433053,16.67413460433053,-0.33925881623417803,-0.33925881623417803,-0.33925881623417803,0.6081325536264905,0.6081325536264905,0.6081325536264905,-0.9473913698606685,-0.9473913698606685,-0.9473913698606685,0.0,0.0,0.0,16.33487578809635
52,2019-07-11,16.67516334304988,-22.37591501797737,55.697559001288305,16.67516334304988,16.67516334304988,-0.46613033197362636,-0.46613033197362636,-0.46613033197362636,-0.22541790535283157,-0.22541790535283157,-0.22541790535283157,-0.2407124266207948,-0.2407124266207948,-0.2407124266207948,0.0,0.0,0.0,16.209033011076254
53,2019-07-12,16.676192081769237,-24.92535913839752,55.94834175305715,16.676192081769237,16.676192081769237,-0.30934686264477324,-0.30934686264477324,-0.30934686264477324,-0.739640081279473,-0.739640081279473,-0.739640081279473,0.43029321863469977,0.43029321863469977,0.43029321863469977,0.0,0.0,0.0,16.366845219124464
54,2019-07-15,16.679278297927294,-21.589170941690174,58.29859217176505,16.679278297927294,16.679278297927294,3.3363628337010764,3.3363628337010764,3.3363628337010764,1.1645793334503938,1.1645793334503938,1.1645793334503938,2.171783500250683,2.171783500250683,2.171783500250683,0.0,0.0,0.0,20.01564113162837
55,2019-07-16,16.680307036646646,-20.365863202018588,60.87265075351514,16.680307036646646,16.680307036646646,2.8959824277060635,2.8959824277060635,2.8959824277060635,0.24732477213886184,0.24732477213886184,0.24732477213886184,2.648657655567202,2.648657655567202,2.648657655567202,0.0,0.0,0.0,19.57628946435271
56,2019-07-17,16.681335775365998,-21.669915203948694,60.77749024933593,16.681335775365998,16.681335775365998,3.6785801195897134,3.6785801195897134,3.6785801195897134,0.6081325536282693,0.6081325536282693,0.6081325536282693,3.070447565961444,3.070447565961444,3.070447565961444,0.0,0.0,0.0,20.359915894955712
57,2019-07-18,16.682364514085354,-20.25900641061918,58.16102774212695,16.682364514085354,16.682364514085354,3.211777877363301,3.211777877363301,3.211777877363301,-0.22541790534806183,-0.22541790534806183,-0.22541790534806183,3.4371957827113624,3.4371957827113624,3.4371957827113624,0.0,0.0,0.0,19.894142391448653
58,2019-07-19,16.683393252804702,-20.78712428274032,60.240859272854074,16.683393252804702,16.683393252804702,3.010587628228566,3.010587628228566,3.010587628228566,-0.7396400812840609,-0.7396400812840609,-0.7396400812840609,3.750227709512627,3.750227709512627,3.750227709512627,0.0,0.0,0.0,19.69398088103327
59,2019-07-22,16.686479468962762,-19.391357945201634,65.84825530590331,16.686479468962762,16.686479468962762,5.561944924632453,5.561944924632453,5.561944924632453,1.1645793334507302,1.1645793334507302,1.1645793334507302,4.397365591181723,4.397365591181723,4.397365591181723,0.0,0.0,0.0,22.248424393595215
60,2019-07-23,16.687508207682114,-17.340332104042645,64.03546230757183,16.687508207682114,16.687508207682114,4.777879924782426,4.777879924782426,4.777879924782426,0.24732477213817608,0.24732477213817608,0.24732477213817608,4.530555152644251,4.530555152644251,4.530555152644251,0.0,0.0,0.0,21.46538813246454
61,2019-07-24,16.688536946401467,-19.757440939887513,64.17374349367809,16.688536946401467,16.688536946401467,5.239736990084469,5.239736990084469,5.239736990084469,0.6081325536281569,0.6081325536281569,0.6081325536281569,4.631604436456312,4.631604436456312,4.631604436456312,0.0,0.0,0.0,21.928273936485937
62,2019-07-25,16.689565685120822,-21.76299150526393,63.51150237481822,16.689565685120822,16.689565685120822,4.4811875838992306,4.4811875838992306,4.4811875838992306,-0.2254179053500635,-0.2254179053500635,-0.2254179053500635,4.706605489249294,4.706605489249294,4.706605489249294,0.0,0.0,0.0,21.170753269020054
